#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2023-01-18 10:44:25
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2023-01-18 19:05:07 94.73.170.75 GET /css/animate.css - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 57448 361 42
2023-01-18 19:05:12 94.73.170.75 GET /css/bootstrap.min.css - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 117540 367 4283
2023-01-18 19:05:12 94.73.170.75 GET / - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 - www.krsstand.com.tr 200 0 0 54528 455 4900
2023-01-18 19:05:12 94.73.170.75 GET /style.css - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 38707 355 4473
2023-01-18 19:05:12 94.73.170.75 GET /js/wow.min.js - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 7443 344 65
2023-01-18 19:05:12 94.73.170.75 GET /js/bootstrap.min.js - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 35819 350 116
2023-01-18 19:05:12 94.73.170.75 GET /css/superslides.css - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 2025 365 4662
2023-01-18 19:05:12 94.73.170.75 GET /js/slick.min.js - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 32411 346 40
2023-01-18 19:05:12 94.73.170.75 GET /js/jquery.easing.1.3.js - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 8458 354 63
